State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,State_code
Alabama,5/1/2019,"6,660",29/12/2018,"22,085","1,894,608",1.17,al
Alabama,12/1/2019,"4,386",5/1/2019,"20,075","1,894,608",1.06,al
Alabama,19/1/2019,"3,217",12/1/2019,"17,574","1,894,608",0.93,al
Alabama,26/1/2019,"2,414",19/1/2019,"16,904","1,894,608",0.89,al
Alabama,2/2/2019,"2,505",26/1/2019,"16,343","1,894,608",0.86,al
Alabama,9/2/2019,"2,659",2/2/2019,"16,382","1,894,608",0.86,al
Alabama,16/2/2019,"1,960",9/2/2019,"15,578","1,894,608",0.82,al
Alabama,23/2/2019,"2,193",16/2/2019,"15,894","1,894,608",0.84,al
Alabama,2/3/2019,"2,306",23/2/2019,"15,715","1,894,608",0.83,al
Alabama,9/3/2019,"2,106",2/3/2019,"14,790","1,894,608",0.78,al
Alabama,16/3/2019,"2,149",9/3/2019,"14,372","1,894,608",0.76,al
Alabama,23/3/2019,"2,220",16/3/2019,"14,269","1,894,608",0.75,al
Alabama,30/3/2019,"2,250",23/3/2019,"14,131","1,894,608",0.75,al
Alabama,6/4/2019,"2,891",30/3/2019,"14,581","1,894,608",0.77,al
Alabama,13/4/2019,"2,381",6/4/2019,"13,967","1,901,111",0.73,al
Alabama,20/4/2019,"1,935",13/4/2019,"13,870","1,901,111",0.73,al
Alabama,27/4/2019,"1,920",20/4/2019,"13,627","1,901,111",0.72,al
Alabama,4/5/2019,"2,474",27/4/2019,"13,900","1,901,111",0.73,al
Alabama,11/5/2019,"2,404",4/5/2019,"14,009","1,901,111",0.74,al
Alabama,18/5/2019,"2,481",11/5/2019,"14,501","1,901,111",0.76,al
Alabama,25/5/2019,"2,729",18/5/2019,"14,681","1,901,111",0.77,al
Alabama,1/6/2019,"2,929",25/5/2019,"15,210","1,901,111",0.8,al
Alabama,8/6/2019,"2,790",1/6/2019,"16,100","1,901,111",0.85,al
Alabama,15/6/2019,"2,422",8/6/2019,"15,927","1,901,111",0.84,al
Alabama,22/6/2019,"2,380",15/6/2019,"17,698","1,901,111",0.93,al
Alabama,29/6/2019,"3,278",22/6/2019,"17,260","1,901,111",0.91,al
Alabama,6/7/2019,"2,363",29/6/2019,"17,885","1,901,111",0.94,al
Alabama,13/7/2019,"4,293",6/7/2019,"20,440","1,908,660",1.07,al
Alabama,20/7/2019,"2,785",13/7/2019,"18,778","1,908,660",0.98,al
Alabama,27/7/2019,"2,292",20/7/2019,"17,961","1,908,660",0.94,al
Alabama,3/8/2019,"2,425",27/7/2019,"17,865","1,908,660",0.94,al
Alabama,10/8/2019,"2,195",3/8/2019,"17,372","1,908,660",0.91,al
Alabama,17/8/2019,"2,123",10/8/2019,"16,635","1,908,660",0.87,al
Alabama,24/8/2019,"2,055",17/8/2019,"15,948","1,908,660",0.84,al
Alabama,31/8/2019,"2,135",24/8/2019,"15,707","1,908,660",0.82,al
Alabama,7/9/2019,"1,769",31/8/2019,"15,325","1,908,660",0.8,al
Alabama,14/9/2019,"2,081",7/9/2019,"15,310","1,908,660",0.8,al
Alabama,21/9/2019,"1,999",14/9/2019,"15,060","1,908,660",0.79,al
Alabama,28/9/2019,"1,879",21/9/2019,"14,687","1,908,660",0.77,al
Alabama,5/10/2019,"2,057",28/9/2019,"14,607","1,908,660",0.77,al
Alabama,12/10/2019,"2,161",5/10/2019,"14,430","1,914,918",0.75,al
Alabama,19/10/2019,"1,703",12/10/2019,"14,490","1,914,918",0.76,al
Alabama,26/10/2019,"1,984",19/10/2019,"14,197","1,914,918",0.74,al
Alabama,2/11/2019,"1,977",26/10/2019,"14,214","1,914,918",0.74,al
Alabama,9/11/2019,"2,208",2/11/2019,"14,125","1,914,918",0.74,al
Alabama,16/11/2019,"1,888",9/11/2019,"14,152","1,914,918",0.74,al
Alabama,23/11/2019,"2,290",16/11/2019,"14,304","1,914,918",0.75,al
Alabama,30/11/2019,"2,032",23/11/2019,"14,157","1,914,918",0.74,al
Alabama,7/12/2019,"3,227",30/11/2019,"15,961","1,914,918",0.83,al
Alabama,14/12/2019,"2,362",7/12/2019,"15,078","1,914,918",0.79,al
Alabama,21/12/2019,"3,163",14/12/2019,"15,146","1,914,918",0.79,al
Alabama,28/12/2019,"3,200",21/12/2019,"15,544","1,914,918",0.81,al
Alabama,4/1/2020,"4,578",28/12/2019,"18,523","1,923,741",0.96,al
Alabama,11/1/2020,"3,629",4/1/2020,"21,143","1,923,741",1.1,al
Alabama,18/1/2020,"2,483",11/1/2020,"17,402","1,923,741",0.9,al
Alabama,25/1/2020,"2,129",18/1/2020,"18,390","1,923,741",0.96,al
Alabama,1/2/2020,"2,170",25/1/2020,"17,284","1,923,741",0.9,al
