Selected Geographies,abbreviations,FIPS_code,median_income_apr
Alabama,AL,01,"50,000 To 59,999"
Alaska,AK,02,"60,000 To 74,999"
Arizona,AZ,04,"60,000 To 74,999"
Arkansas,AR,05,"40,000 To 49,999"
California,CA,06,"60,000 To 74,999"
Colorado,CO,08,"75,000 To 99,999"
Connecticut,CT,09,"75,000 To 99,999"
Delaware,DE,10,"60,000 To 74,999"
District of Columbia,DC,11,"75,000 To 99,999"
Florida,FL,12,"50,000 To 59,999"
Georgia,GA,13,"50,000 To 59,999"
Hawaii,HI,15,"60,000 To 74,999"
Idaho,ID,16,"50,000 To 59,999"
Illinois,IL,17,"60,000 To 74,999"
Indiana,IN,18,"50,000 To 59,999"
Iowa,IA,19,"50,000 To 59,999"
Kansas,KS,20,"60,000 To 74,999"
Kentucky,KY,21,"40,000 To 49,999"
Louisiana,LA,22,"40,000 To 49,999"
Maine,ME,23,"50,000 To 59,999"
Maryland,MD,24,"75,000 To 99,999"
Massachusetts,MA,25,"75,000 To 99,999"
Michigan,MI,26,"60,000 To 74,999"
Minnesota,MN,27,"60,000 To 74,999"
Mississippi,MS,28,"40,000 To 49,999"
Missouri,MO,29,"50,000 To 59,999"
Montana,MT,30,"50,000 To 59,999"
Nebraska,NE,31,"60,000 To 74,999"
Nevada,NV,32,"60,000 To 74,999"
New Hampshire,NH,33,"60,000 To 74,999"
New Jersey,NJ,34,"75,000 To 99,999"
New Mexico,NM,35,"50,000 To 59,999"
New York,NY,36,"60,000 To 74,999"
North Carolina,NC,37,"50,000 To 59,999"
North Dakota,ND,38,"60,000 To 74,999"
Ohio,OH,39,"50,000 To 59,999"
Oklahoma,OK,40,"50,000 To 59,999"
Oregon,OR,41,"60,000 To 74,999"
Pennsylvania,PA,42,"60,000 To 74,999"
Rhode Island,RI,44,"50,000 To 59,999"
South Carolina,SC,45,"50,000 To 59,999"
South Dakota,SD,46,"60,000 To 74,999"
Tennessee,TN,47,"50,000 To 59,999"
Texas,TX,48,"50,000 To 59,999"
Utah,UT,49,"60,000 To 74,999"
Vermont,VT,50,"60,000 To 74,999"
Virginia,VA,51,"60,000 To 74,999"
Washington,WA,53,"60,000 To 74,999"
West Virginia,WV,54,"40,000 To 49,999"
Wisconsin,WI,55,"50,000 To 59,999"
Wyoming,WY,56,"50,000 To 59,999"
