Selected Geographies,abbreviations,FIPS_code,jan,feb,mar,apr,apr23_to_may05,may07_to_may12,may14_to_may19
Alabama,AL,1,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Alaska,AK,2,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
Arizona,AZ,4,55000.0,55000.0,67500.0,67500.0,62500.0,62500.0,62500.0
Arkansas,AR,5,45000.0,45000.0,45000.0,45000.0,42500.0,42500.0,42500.0
California,CA,6,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
Colorado,CO,8,67500.0,67500.0,67500.0,87500.0,87500.0,87500.0,62500.0
Connecticut,CT,9,67500.0,87500.0,87500.0,87500.0,62500.0,87500.0,87500.0
Delaware,DE,10,55000.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
District of Columbia,DC,11,87500.0,87500.0,87500.0,87500.0,87500.0,125000.0,87500.0
Florida,FL,12,45000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Georgia,GA,13,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Hawaii,HI,15,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,87500.0
Idaho,ID,16,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Illinois,IL,17,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
Indiana,IN,18,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Iowa,IA,19,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Kansas,KS,20,55000.0,55000.0,55000.0,67500.0,62500.0,62500.0,62500.0
Kentucky,KY,21,45000.0,45000.0,45000.0,45000.0,62500.0,62500.0,62500.0
Louisiana,LA,22,45000.0,45000.0,45000.0,45000.0,62500.0,62500.0,62500.0
Maine,ME,23,55000.0,45000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Maryland,MD,24,87500.0,87500.0,87500.0,87500.0,87500.0,87500.0,87500.0
Massachusetts,MA,25,87500.0,87500.0,87500.0,87500.0,87500.0,87500.0,87500.0
Michigan,MI,26,55000.0,55000.0,55000.0,67500.0,62500.0,62500.0,62500.0
Minnesota,MN,27,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
Mississippi,MS,28,37500.0,37500.0,37500.0,45000.0,42500.0,42500.0,42500.0
Missouri,MO,29,45000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Montana,MT,30,45000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Nebraska,NE,31,55000.0,55000.0,67500.0,67500.0,62500.0,62500.0,62500.0
Nevada,NV,32,55000.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
New Hampshire,NH,33,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
New Jersey,NJ,34,87500.0,87500.0,87500.0,87500.0,87500.0,87500.0,87500.0
New Mexico,NM,35,45000.0,45000.0,45000.0,55000.0,42500.0,42500.0,62500.0
New York,NY,36,67500.0,55000.0,67500.0,67500.0,62500.0,62500.0,62500.0
North Carolina,NC,37,45000.0,45000.0,55000.0,55000.0,62500.0,62500.0,62500.0
North Dakota,ND,38,55000.0,55000.0,55000.0,67500.0,62500.0,62500.0,62500.0
Ohio,OH,39,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Oklahoma,OK,40,55000.0,55000.0,55000.0,55000.0,62500.0,42500.0,42500.0
Oregon,OR,41,55000.0,55000.0,67500.0,67500.0,62500.0,62500.0,62500.0
Pennsylvania,PA,42,55000.0,55000.0,55000.0,67500.0,62500.0,62500.0,62500.0
Rhode Island,RI,44,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
South Carolina,SC,45,55000.0,45000.0,55000.0,55000.0,62500.0,62500.0,62500.0
South Dakota,SD,46,55000.0,55000.0,55000.0,67500.0,62500.0,62500.0,62500.0
Tennessee,TN,47,45000.0,45000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Texas,TX,48,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Utah,UT,49,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,62500.0
Vermont,VT,50,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,87500.0
Virginia,VA,51,87500.0,87500.0,87500.0,67500.0,87500.0,62500.0,87500.0
Washington,WA,53,67500.0,67500.0,67500.0,67500.0,62500.0,62500.0,87500.0
West Virginia,WV,54,37500.0,45000.0,45000.0,45000.0,62500.0,42500.0,42500.0
Wisconsin,WI,55,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
Wyoming,WY,56,55000.0,55000.0,55000.0,55000.0,62500.0,62500.0,62500.0
