Source: CPS Basic Monthly 202002
Weight used: HWHHWGT
"Universe: selected geographies: Alabama, Arizona, Alaska, Arkansas, California, Colorado, Delaware, Connecticut, Florida, District of Columbia, Hawaii, Georgia, Idaho, Illinois, Iowa, Indiana, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Minnesota, Michigan, Mississippi, Missouri, Nebraska, Nevada, Montana, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Household-total family income in past 12 months (HEFAMINC)","","","","","","","","","","","","","","",""
"Selected Geographies","Less Than $5,000","5,000 To 7,499","7,500 To 9,999","10,000 To 12,499","12,500 To 14,999","15,000 To 19,999","20,000 To 24,999","25,000 To 29,999","30,000 To 34,999","35,000 To 39,999","40,000 To 49,999","50,000 To 59,999","60,000 To 74,999","75,000 To 99,999","100,000 To 149,999","150,000 or More"
"Alabama","57002","13246","65612","69956","53402","86423","96148","112679","114797","110282","175453","168473","197171","217548","241377","219220"
"Alaska","8525","1223","1347","9174","5328","12308","11101","7859","11892","12923","26669","20588","24243","34362","39888","35492"
"Arizona","44962","17951","60085","78642","61772","113679","141645","141748","182956","150239","272866","275803","272034","355448","405677","298705"
"Arkansas","46655","17159","39007","41251","32959","50100","85387","83541","85036","69102","127955","90779","142080","149149","108393","93461"
"California","373837","142562","174265","346836","262632","514632","634561","562990","669329","768864","882003","1081017","1338769","1833510","2139137","2517306"
"Colorado","33381","11535","39232","45738","66620","44304","88678","123030","123757","113647","222460","146313","244366","269725","341749","457505"
"Connecticut","50883","6737","14949","18238","34117","37266","48727","64317","75579","35460","108684","80561","140539","202341","221061","293747"
"Delaware","7516","3573","3642","17096","7524","9684","18400","16622","17576","21581","35781","22169","48389","61320","49841","42006"
"District of Columbia","16216","5230","7300","8024","4715","7581","8590","8172","11553","10729","15769","16738","21078","38093","51791","104106"
"Florida","182288","93112","220801","261538","217302","509393","431843","519343","605739","612016","801458","920753","942914","924576","911628","913394"
"Georgia","124598","51463","79528","128481","119136","175973","196046","230341","295869","261960","339003","413892","391280","435309","452622","468287"
"Hawaii","17532","10160","4730","13198","5489","8207","18473","19998","19530","17939","36593","40836","59967","62345","70759","76550"
