Source: CPS Basic Monthly 202001
Weight used: HWHHWGT
"Universe: selected geographies: Alabama, Arizona, Alaska, Arkansas, California, Colorado, Delaware, Connecticut, Florida, District of Columbia, Hawaii, Georgia, Idaho, Illinois, Iowa, Indiana, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Minnesota, Michigan, Mississippi, Missouri, Nebraska, Nevada, Montana, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Household-total family income in past 12 months (HEFAMINC)","","","","","","","","","","","","","","",""
"Selected Geographies","Less Than $5,000","5,000 To 7,499","7,500 To 9,999","10,000 To 12,499","12,500 To 14,999","15,000 To 19,999","20,000 To 24,999","25,000 To 29,999","30,000 To 34,999","35,000 To 39,999","40,000 To 49,999","50,000 To 59,999","60,000 To 74,999","75,000 To 99,999","100,000 To 149,999","150,000 or More"
"Alabama","65000","25235","45763","57144","46924","100601","117137","98937","113051","130822","185639","157028","220919","207199","250180","205981"
"Alaska","7500","1791","3502","8969","2997","11631","9092","8099","11158","13588","23934","21120","31352","33880","40227","39518"
"Arizona","41548","21976","52158","55855","69770","110020","100946","152957","130804","178209","306689","294550","255755","368560","441168","297005"
"Arkansas","55090","19714","32910","30247","36736","55644","83065","81602","83431","54904","134884","91204","119340","143298","98076","111823"
"California","364407","99509","204565","399666","331481","568884","655826","534048","735459","751542","902285","1079640","1268603","1767560","2113440","2580426"
"Colorado","54043","7381","43685","40606","58586","43282","80185","112368","131169","142656","211753","139631","212782","299547","276218","466611"
"Connecticut","54848","13493","23115","20347","21019","29137","38801","55689","89004","52368","129553","66758","123517","198836","201992","280129"
"Delaware","9621","3289","3050","14000","4869","10638","18462","17796","24191","28912","38059","24534","45642","56554","46610","43020"
"District of Columbia","14268","5004","6236","7696","2454","11880","7926","9067","11036","9068","19724","20202","17382","39790","52266","100302"
"Florida","190259","125862","196701","275230","250952","491711","467364","565200","622779","542577","867629","867599","871313","963876","965488","916514"
"Georgia","99613","42597","53689","118795","151530","168306","229218","256491","295602","290425","316212","452991","359361","467812","498502","437803"
"Hawaii","11658","9766","4878","13621","6811","9665","19024","21332","25293","18429","30275","37297","67266","67490","70156","71984"
"Idaho","9665","13739","12758","16961","11309","25347","30870","35692","46646","49310","77723","72972","82679","67431","83214","53489"
"Illinois","213057","67686","108482","112692","131494","150988","177594","205371","267691","174637","328850","456218","495923","687112","741681","714287"
"Indiana","65664","58570","56989","68139","82635","131474","107451","179714","139470","162537","252981","272212","373579","368606","299278","221118"
"Iowa","28582","22031","24440","20181","37180","51837","93176","66176","79081","81742","122627","128917","136776","157613","166466","132201"
"Kansas","24908","11008","22254","45401","28556","53632","70172","47318","72035","69664","103058","77637","124515","126655","152912","94607"
"Kentucky","48511","29368","65516","69762","67915","98652","161025","108127","94064","103489","118442","121215","184538","227757","201666","121757"
"Louisiana","105516","39680","95562","90799","56307","82767","123767","105208","105536","84200","169777","132231","180094","187152","228276","135939"
"Maine","8009","3631","10328","30092","21415","29856","26635","42389","29252","22974","53851","45850","59017","59372","75415","39377"
"Maryland","18610","10092","19260","39225","21802","36700","55064","96728","106243","142130","118045","227416","211417","315118","387573","500555"
"Massachusetts","60294","29492","94993","61173","60519","73306","88249","139870","79192","111136","181004","173624","244603","290746","520421","651622"
"Michigan","129159","51165","112188","117983","87347","136876","217256","202826","251123","245903","402722","295630","463713","460450","588040","458032"
"Minnesota","41444","26048","32778","97005","47820","57088","56704","78865","134117","129813","216389","161603","238938","338816","369150","329291"
"Mississippi","49500","21702","49832","35518","57801","97784","83615","66600","66181","72995","89222","113881","79318","98062","102336","51702"
"Missouri","36211","12814","29184","78206","41420","130944","177430","165903","163326","201434","222301","209618","268492","294701","253680","183016"
"Montana","7867","5966","7253","15244","16799","23626","25506","21081","34145","31153","45748","39284","56007","59379","41851","34023"
"Nebraska","27738","11658","11688","23684","13556","27132","48120","37397","51012","40291","62474","52939","91080","128920","94445","67299"
"Nevada","36677","14896","12165","27436","38094","49862","56753","67500","89076","68993","91605","109124","136405","131627","178006","142641"
"New Hampshire","6263","1433","5408","9609","11136","18417","22787","19280","28788","27465","36951","42925","50703","81807","99102","89960"
"New Jersey","37896","12524","40415","47347","49047","50675","115109","178254","164907","154654","199617","178379","298373","473191","487593","713746"
"New Mexico","23111","12550","40171","31736","24741","39352","45285","60712","60818","69034","59476","75445","89958","107438","69472","58048"
"New York","190048","163647","143326","201180","204917","317449","386612","368824","392499","362942","554399","589536","664591","863910","1020008","1383982"
"North Carolina","129303","40578","78378","177413","131886","251904","280071","257324","296616","238403","344863","391848","403443","505301","432170","435174"
"North Dakota","9527","4008","5861","8472","4665","13477","17287","11420","20278","19205","30271","36212","30958","39115","44001","28825"
"Ohio","148185","63172","77577","134979","122191","214327","256084","292692","277050","255080","326420","359044","488287","583850","681876","513712"
"Oklahoma","39481","24928","24009","51020","37907","52364","90196","109632","87586","82243","153753","149392","136831","183836","197482","148561"
"Oregon","54283","15844","24312","39512","30384","56899","84100","69782","94350","55704","181818","145572","177168","228600","218929","226700"
"Pennsylvania","128261","76723","86582","90441","135049","181708","350292","212957","401395","233777","420349","436609","529307","668955","659772","509570"
"Rhode Island","7740","6629","5254","16490","15483","19537","20184","15927","21849","17595","39883","38228","36010","60419","63822","48443"
"South Carolina","63448","22383","44314","77441","54766","112346","106505","84705","126419","159955","205990","184374","230664","247814","226851","202771"
"South Dakota","14330","6735","8392","5905","5954","17584","23015","12655","20905","29169","24662","22636","45038","60770","37938","27402"
"Tennessee","93917","33000","40828","129065","129251","147459","160259","181055","199547","118519","233802","283302","268747","255142","267718","270994"
"Texas","186733","142423","262683","255084","194261","391301","606857","485084","738506","608288","824626","791101","1163847","1181415","1352897","1391707"
"Utah","17214","7745","5758","29319","20336","27971","54403","51157","60050","57630","75202","125110","138231","168652","149571","100726"
"Vermont","3992","1481","1938","6989","6711","9765","13819","12237","18279","14139","20746","20122","33784","39496","39294","25632"
"Virginia","77168","47786","74192","70228","78186","76529","89270","89249","122405","144159","275299","204587","330090","387856","631833","775439"
"Washington","78872","44206","39850","24928","41418","94733","91826","73377","158420","156233","281990","262487","337633","358179","550993","433500"
"West Virginia","24278","4630","24375","26521","34385","43174","54855","51013","69228","46616","63810","56475","73144","75139","73589","33808"
"Wisconsin","60819","43547","37136","74351","71025","88682","132140","142555","148190","151327","227836","251460","259266","321425","255270","201006"
"Wyoming","3847","3622","5264","6207","5525","7109","9892","12035","15032","11588","21783","19403","23945","36446","33946","20777"
