Source: CPS Basic Monthly 202003
Weight used: HWHHWGT
"Universe: selected geographies: Alabama, Arizona, Alaska, Arkansas, California, Colorado, Delaware, Connecticut, Florida, District of Columbia, Hawaii, Georgia, Idaho, Illinois, Iowa, Indiana, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Minnesota, Michigan, Mississippi, Missouri, Nebraska, Nevada, Montana, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Household-total family income in past 12 months (HEFAMINC)","","","","","","","","","","","","","","",""
"Selected Geographies","Less Than $5,000","5,000 To 7,499","7,500 To 9,999","10,000 To 12,499","12,500 To 14,999","15,000 To 19,999","20,000 To 24,999","25,000 To 29,999","30,000 To 34,999","35,000 To 39,999","40,000 To 49,999","50,000 To 59,999","60,000 To 74,999","75,000 To 99,999","100,000 To 149,999","150,000 or More"
"Alabama","37871","11602","68832","82505","58792","94772","95154","93665","115516","114588","197908","167231","184086","246702","232644","197225"
"Alaska","6705","1119","2224","8185","4943","6436","8740","8928","8763","11676","26057","23699","25967","31400","43124","35913"
"Arizona","34432","14942","56051","72845","52526","94809","133373","124487","158730","127265","251335","282198","321028","428959","376247","307386"
"Arkansas","39748","13860","38884","55495","37063","57801","81758","72089","77579","60543","123039","100156","150609","152950","104486","87700"
"California","310961","151091","141268","303328","242527","548189","635919","534762","642710","796509","902422","1076654","1380341","1904834","2039605","2705233"
"Colorado","40851","12417","26364","43210","59726","41522","118163","113115","68969","74452","219439","145319","244405","314935","378173","446252"
"Connecticut","39633","7136","7181","19858","25456","37139","54968","44509","63545","47419","106293","59738","138342","194067","240465","291192"
"Delaware","8946","3076","3541","14964","8342","8283","16355","19533","16353","22005","31999","26121","48086","58989","53370","37225"
"District of Columbia","15494","5635","11020","8280","5545","4185","7152","7432","13355","7739","13658","20417","24160","36554","50003","101287"
"Florida","159107","78045","199412","227693","236190","439807","442059","556918","555282","594698","883104","891301","911733","921875","878649","902842"
"Georgia","76951","35428","79076","127219","113601","143278","181107","225971","265464","271958","418551","372717","417214","446691","432747","485671"
"Hawaii","12005","12473","4396","10670","5708","10281","15230","23452","23220","17580","37565","32374","63159","57739","72807","75516"
"Idaho","7263","9328","7780","10833","16383","28171","28931","27991","47405","48391","82651","85833","84705","80631","85576","57542"
"Illinois","166378","77320","79613","120388","145195","118260","187149","215285","206088","182874","392245","474314","491853","680589","720224","801378"
"Indiana","59864","58822","64110","47181","81012","107016","110294","179861","165243","177419","208099","241798","314943","313241","333380","235242"
"Iowa","14669","14209","25691","25330","26908","63278","61770","42375","96928","83476","123479","124116","138702","163214","189026","117448"
"Kansas","13881","7897","11939","34662","26059","66215","41480","45051","82823","58854","91768","86257","140963","143251","152434","94732"
"Kentucky","46306","24284","34843","72102","86734","116404","105427","72147","99186","111113","174329","159215","168066","201216","219263","115188"
"Louisiana","88221","22624","78480","71869","54121","92352","129542","94878","85505","79771","170198","158527","189635","195137","223267","152527"
"Maine","5434","4557","10600","21763","17166","22281","33711","39540","34911","26404","43711","47880","56315","63420","88631","55530"
"Maryland","29591","11563","7024","14040","33464","58427","66026","90360","97070","130851","96501","195684","217601","281208","538576","503429"
"Massachusetts","43731","18727","53682","69785","60163","96806","90835","101825","81453","103097","161184","197910","215909","282132","481468","671000"
"Michigan","87156","42886","80129","153179","108338","159913","192891","204848","239841","204473","375433","283042","507681","477989","624571","498846"
"Minnesota","51721","13631","35772","66568","49969","61906","76910","72124","137563","109647","236044","192347","250499","350082","370174","312054"
"Mississippi","39251","26293","41980","41237","43292","106230","82175","78406","70213","64892","94293","106666","99394","102548","102292","61618"
"Missouri","41634","23308","73064","91178","44145","130431","152673","148141","165946","115491","266723","205569","268346","366426","260093","229938"
"Montana","10126","5635","10954","11593","10451","18096","30041","24049","35457","28288","46219","49782","53929","53024","42537","34996"
"Nebraska","21655","10274","10047","15629","14168","22797","38231","39725","46884","33740","46224","60771","107539","111039","90714","69371"
"Nevada","29348","10045","5168","13732","36936","39596","50894","43802","56577","71098","94785","122386","131261","174057","186118","162992"
"New Hampshire","4888","1743","6810","9511","18198","13259","23007","13160","18027","24484","27239","56034","63162","74700","106809","87702"
"New Jersey","36953","23009","76827","36346","53371","53546","111461","160461","159816","148420","281802","179303","218013","450195","568260","720782"
"New Mexico","24341","9460","36489","29849","20374","33330","35720","62327","55383","52017","71053","81447","92721","89265","100735","48935"
"New York","173900","90998","123654","262398","219503","298023","289472","320439","370560","382498","547710","595909","622772","944876","1008350","1435928"
"North Carolina","115465","37131","79512","146491","120423","256219","267652","263598","297693","254271","351295","366492","415395","569711","422473","438014"
"North Dakota","7831","1998","7571","6948","5609","8493","15282","10685","16762","23654","30395","31679","30917","39387","56036","32846"
"Ohio","200956","48894","94660","140304","150821","259359","249438","200907","276966","299106","343755","369796","468778","614668","638434","426775"
"Oklahoma","40771","27234","32696","42929","26035","64703","64143","121479","106183","99659","133836","143466","139864","219399","177378","149079"
"Oregon","33028","9605","15473","27618","39234","47700","79192","93627","89162","61866","174355","129731","152694","219340","249105","227034"
"Pennsylvania","116020","66243","82540","122546","99164","237419","337343","207940","353484","253019","387525","471912","565949","581110","644295","665508"
"Rhode Island","9400","5373","9074","13925","19638","17339","33102","21084","27341","17311","37019","44881","32091","48057","71231","58956"
"South Carolina","49395","22641","28874","76238","27402","124239","122398","90014","123227","159498","174804","190688","256718","222057","245353","224458"
"South Dakota","10540","2469","10602","6963","5533","15678","19409","12989","19454","22805","31853","31145","49862","55307","42334","25094"
"Tennessee","97806","13579","39855","133530","85658","138152","140014","174054","173566","145784","219373","279646","291366","322609","278946","258063"
"Texas","193812","160865","238680","271367","149436","432285","577137","488348","695734","539457","990779","728547","1213909","1209360","1366706","1242637"
"Utah","11351","6028","8474","13426","10850","12034","36038","32733","50087","57350","77267","121202","152841","159749","154318","159658"
