State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,State_code
Alabama,5/1/2019,6660.00,29/12/2018,22085.00,1894608.00,1.17,al
Alabama,12/1/2019,4386.00,5/1/2019,20075.00,1894608.00,1.06,al
Alabama,19/1/2019,3217.00,12/1/2019,17574.00,1894608.00,0.93,al
Alabama,26/1/2019,2414.00,19/1/2019,16904.00,1894608.00,0.89,al
Alabama,2/2/2019,2505.00,26/1/2019,16343.00,1894608.00,0.86,al
Alabama,9/2/2019,2659.00,2/2/2019,16382.00,1894608.00,0.86,al
Alabama,16/2/2019,1960.00,9/2/2019,15578.00,1894608.00,0.82,al
Alabama,23/2/2019,2193.00,16/2/2019,15894.00,1894608.00,0.84,al
Alabama,2/3/2019,2306.00,23/2/2019,15715.00,1894608.00,0.83,al
Alabama,9/3/2019,2106.00,2/3/2019,14790.00,1894608.00,0.78,al
Alabama,16/3/2019,2149.00,9/3/2019,14372.00,1894608.00,0.76,al
Alabama,23/3/2019,2220.00,16/3/2019,14269.00,1894608.00,0.75,al
Alabama,30/3/2019,2250.00,23/3/2019,14131.00,1894608.00,0.75,al
Alabama,6/4/2019,2891.00,30/3/2019,14581.00,1894608.00,0.77,al
Alabama,13/4/2019,2381.00,6/4/2019,13967.00,1901111.00,0.73,al
Alabama,20/4/2019,1935.00,13/4/2019,13870.00,1901111.00,0.73,al
Alabama,27/4/2019,1920.00,20/4/2019,13627.00,1901111.00,0.72,al
Alabama,4/5/2019,2474.00,27/4/2019,13900.00,1901111.00,0.73,al
Alabama,11/5/2019,2404.00,4/5/2019,14009.00,1901111.00,0.74,al
Alabama,18/5/2019,2481.00,11/5/2019,14501.00,1901111.00,0.76,al
Alabama,25/5/2019,2729.00,18/5/2019,14681.00,1901111.00,0.77,al
Alabama,1/6/2019,2929.00,25/5/2019,15210.00,1901111.00,0.8,al
Alabama,8/6/2019,2790.00,1/6/2019,16100.00,1901111.00,0.85,al
Alabama,15/6/2019,2422.00,8/6/2019,15927.00,1901111.00,0.84,al
Alabama,22/6/2019,2380.00,15/6/2019,17698.00,1901111.00,0.93,al
Alabama,29/6/2019,3278.00,22/6/2019,17260.00,1901111.00,0.91,al
Alabama,6/7/2019,2363.00,29/6/2019,17885.00,1901111.00,0.94,al
Alabama,13/7/2019,4293.00,6/7/2019,20440.00,1908660.00,1.07,al
Alabama,20/7/2019,2785.00,13/7/2019,18778.00,1908660.00,0.98,al
Alabama,27/7/2019,2292.00,20/7/2019,17961.00,1908660.00,0.94,al
Alabama,3/8/2019,2425.00,27/7/2019,17865.00,1908660.00,0.94,al
Alabama,10/8/2019,2195.00,3/8/2019,17372.00,1908660.00,0.91,al
Alabama,17/8/2019,2123.00,10/8/2019,16635.00,1908660.00,0.87,al
Alabama,24/8/2019,2055.00,17/8/2019,15948.00,1908660.00,0.84,al
Alabama,31/8/2019,2135.00,24/8/2019,15707.00,1908660.00,0.82,al
Alabama,7/9/2019,1769.00,31/8/2019,15325.00,1908660.00,0.8,al
Alabama,14/9/2019,2081.00,7/9/2019,15310.00,1908660.00,0.8,al
Alabama,21/9/2019,1999.00,14/9/2019,15060.00,1908660.00,0.79,al
Alabama,28/9/2019,1879.00,21/9/2019,14687.00,1908660.00,0.77,al
Alabama,5/10/2019,2057.00,28/9/2019,14607.00,1908660.00,0.77,al
Alabama,12/10/2019,2161.00,5/10/2019,14430.00,1914918.00,0.75,al
Alabama,19/10/2019,1703.00,12/10/2019,14490.00,1914918.00,0.76,al
Alabama,26/10/2019,1984.00,19/10/2019,14197.00,1914918.00,0.74,al
Alabama,2/11/2019,1977.00,26/10/2019,14214.00,1914918.00,0.74,al
Alabama,9/11/2019,2208.00,2/11/2019,14125.00,1914918.00,0.74,al
Alabama,16/11/2019,1888.00,9/11/2019,14152.00,1914918.00,0.74,al
Alabama,23/11/2019,2290.00,16/11/2019,14304.00,1914918.00,0.75,al
Alabama,30/11/2019,2032.00,23/11/2019,14157.00,1914918.00,0.74,al
Alabama,7/12/2019,3227.00,30/11/2019,15961.00,1914918.00,0.83,al
Alabama,14/12/2019,2362.00,7/12/2019,15078.00,1914918.00,0.79,al
Alabama,21/12/2019,3163.00,14/12/2019,15146.00,1914918.00,0.79,al
Alabama,28/12/2019,3200.00,21/12/2019,15544.00,1914918.00,0.81,al
Alabama,4/1/2020,4578.00,28/12/2019,18523.00,1923741.00,0.96,al
Alabama,11/1/2020,3629.00,4/1/2020,21143.00,1923741.00,1.1,al
Alabama,18/1/2020,2483.00,11/1/2020,17402.00,1923741.00,0.9,al
Alabama,25/1/2020,2129.00,18/1/2020,18390.00,1923741.00,0.96,al
Alabama,1/2/2020,2170.00,25/1/2020,17284.00,1923741.00,0.9,al
Alabama,8/2/2020,2176.00,1/2/2020,16745.00,1923741.00,0.87,al
Alabama,15/2/2020,1981.00,8/2/2020,16571.00,1923741.00,0.86,al
Alabama,22/2/2020,1735.00,15/2/2020,16059.00,1923741.00,0.83,al
Alabama,29/2/2020,1575.00,22/2/2020,14721.00,1923741.00,0.77,al
Alabama,7/3/2020,1663.00,29/2/2020,13657.00,1923741.00,0.71,al
Alabama,14/3/2020,1819.00,7/3/2020,13070.00,1923741.00,0.68,al
Alabama,21/3/2020,10892.00,14/3/2020,12487.00,1923741.00,0.65,al
Alabama,28/3/2020,80984.00,21/3/2020,18083.00,1923741.00,0.94,al
Alabama,4/4/2020,106739.00,28/3/2020,52176.00,1923741.00,2.71,al
Alabama,11/4/2020,77515.00,4/4/2020,95325.00,1929897.00,4.94,al
Alabama,18/4/2020,66432.00,11/4/2020,144327.00,1929897.00,7.48,al
Alabama,25/4/2020,74966.00,18/4/2020,173855.00,1929897.00,9.01,al
Alabama,2/5/2020,28985.00,25/4/2020,214684.00,1929897.00,11.12,al
Alabama,9/5/2020,26666.00,2/5/2020,216856.00,1929897.00,11.24,al
Alabama,16/5/2020,25150.00,9/5/2020,203677.00,1929897.00,10.55,al
Alaska,5/1/2019,1240.00,29/12/2018,10560.00,306445.00,3.45,ak
Alaska,12/1/2019,1805.00,5/1/2019,10605.00,306108.00,3.46,ak
Alaska,19/1/2019,1423.00,12/1/2019,10505.00,306108.00,3.43,ak
Alaska,26/1/2019,1119.00,19/1/2019,10617.00,306108.00,3.47,ak
Alaska,2/2/2019,1145.00,26/1/2019,10175.00,306108.00,3.32,ak
